Network,Station,Instrument_code,HVSR@f=0.100Hz,HVSR@f=0.121Hz,HVSR@f=0.145Hz,HVSR@f=0.175Hz,HVSR@f=0.210Hz,HVSR@f=0.253Hz,HVSR@f=0.305Hz,HVSR@f=0.367Hz,HVSR@f=0.442Hz,HVSR@f=0.532Hz,HVSR@f=0.640Hz,HVSR@f=0.771Hz,HVSR@f=0.928Hz,HVSR@f=1.117Hz,HVSR@f=1.344Hz,HVSR@f=1.618Hz,HVSR@f=1.948Hz,HVSR@f=2.345Hz,HVSR@f=2.823Hz,HVSR@f=3.398Hz,HVSR@f=4.090Hz,HVSR@f=4.923Hz,HVSR@f=5.926Hz,HVSR@f=7.134Hz,HVSR@f=8.588Hz,HVSR@f=10.337Hz,HVSR@f=12.444Hz,HVSR@f=14.979Hz,HVSR@f=18.031Hz,HVSR@f=21.705Hz,HVSR@f=26.127Hz,HVSR@f=31.451Hz,HVSR@f=37.859Hz,HVSR@f=45.572Hz
5A,NV230,HH,0.7338955515356871,0.9245764129516608,0.8622382700691499,0.8134462428583493,0.67163444573073,0.7670389145805838,0.7274916535351774,0.5887438103063728,0.571331410834907,0.5809504325743632,0.5393736333643278,0.6723765959365546,0.6255042883544758,0.8042674005625973,1.114777807579359,1.098732460970926,1.045104836682988,1.288978328900147,1.29670720272309,1.579200468037829,1.931637362537392,2.491388342976706,2.731639765054832,2.158733343840518,1.311671087565536,0.967261660929946,0.64328119251712,0.4314377432450782,0.5641030589570162,0.6486501374108221,0.7994908922670882,0.96281974777547,1.144944954870614,1.036941347131574
5A,NV240,HH,0.7134149469987892,0.908816708196264,0.8610030166636181,0.8198901951813121,0.6691571488719232,0.7698816756675281,0.734062377267831,0.5744534838879929,0.5310520131131602,0.5601317999001804,0.6297051718761465,0.6481821745343105,0.5602043167657176,0.8342575156495882,0.864586500039092,0.904443611674966,0.8814293559749534,0.9944413861929547,1.073530691889726,1.095816454360851,1.321059583455405,1.439723035045753,1.574968512578682,2.235042735395706,1.443769734090828,0.6322401307458596,0.6948408845465048,0.6767050368507753,0.7098323112127445,0.7690511859251367,0.6898624418319855,0.6713025494076047,0.90993312930523,0.9513490673001492
5A,NV260,HH,0.7196147722337587,0.917386613736722,0.8640382952081145,0.858065296870085,0.7392402472710081,0.863493822628678,0.8241456626883784,0.6748829160485983,0.708895791449857,0.7696224175517937,0.7284889207674233,0.6738428929556912,0.80077173619876,1.221641370148608,1.566964689743053,1.907036504955355,2.06659610093924,2.338774857859084,1.914789969753625,1.07404665377296,1.025015702278664,1.249264213263681,0.8715488794518949,0.7823117334073185,0.800384114872157,0.7919314411745834,0.6960717234866755,0.5921414610341037,0.5735216916691733,0.5444944829855732,0.4896220946100975,0.6033952272349833,0.7817252592979892,0.954905780576184
5A,NV270,HH,0.7099564220642779,0.9153170399485864,0.8833054624244259,0.8750646058171185,0.7700757236279676,0.899137068338062,0.8766786568848012,0.789853687875885,0.8426525139637385,0.9221388024510097,0.8825318417296069,0.8510668869822691,0.9214779556847356,1.024925496228565,1.024305310536697,1.267992567687783,1.208733488973804,1.102350188046842,1.541542835053095,1.071576763281324,0.99143544268178,0.8926598398032372,0.7637186617252221,0.759494060952304,0.7956168183988974,0.7234975959209904,0.664925505002754,0.5888985573134181,0.6137137852189634,0.6307168351868199,0.5766923308097351,0.5606223138457773,0.8634001241557437,0.9341686436584332
5A,NV280,HH,0.7341434828089706,0.962857055644102,0.9732270633373832,0.963686693344331,0.8669710438725907,1.005205980391485,1.036331968635081,1.016092756406678,0.9997120545669532,1.019766965169801,0.848297865451585,0.7759199700679978,0.7371307981202561,1.002818528499915,1.572642951318507,1.394331721860007,1.183933205162147,1.122553843347803,1.026521590938205,0.862670450737251,0.8598817487662846,0.8029349435501952,0.7363873495033509,0.6695181218911567,0.6300562092754134,0.6070220589933698,0.642787378878746,0.6516981195164828,0.7258290448734416,0.8027218997410295,0.9070859765040346,1.064449329539118,1.218510019798682,1.001802113246671
5A,NV290,HH,0.7664231640119741,0.9981085952168512,1.05500784287717,1.068179517790667,0.956586097865023,1.136667822792865,1.188161869084742,1.169292573154261,0.9684557219634652,0.8102894824060468,0.6445758304172894,0.7120934519359461,0.9788278498584824,1.547447774359591,1.545904775191358,1.19534945693375,1.127552612316855,1.17996742922945,1.129747575555666,0.873761125883134,0.6769717783671324,0.6302670533916782,0.6475512500963809,0.6487480982806196,0.639509034129831,0.6133646782732776,0.6165145549475651,0.6242045121441737,0.6638138041529179,0.6945977371095235,0.7345779113840294,0.7934804043315052,1.21579816140532,1.00584552637034
5A,NV300,HH,0.7934412571317205,1.054751852461423,1.185550783008546,1.232998724994297,1.116590539236162,1.351877938779755,1.358448915434124,1.257879050881294,0.9060525028125068,0.8299525883477844,0.8995159771633555,0.949465999591636,0.9925359104206848,1.187456041212662,1.436931227115564,1.300592684803207,1.203190179215034,1.28213257666555,1.081821413995435,0.8573482264981885,0.6027341593939832,0.5146464238834445,0.6409193786088474,0.6726053163547866,0.6769258282037223,0.6516672843080523,0.6216715242843023,0.580422201181144,0.5855582054120887,0.6154542148185557,0.6608933091739972,0.7745938945592866,0.8378827726380684,0.9286490182722476
5A,NV310,HH,0.8830090290666569,1.211944873628461,1.446922486686809,1.514189292755467,1.407675502537268,1.723718428280518,1.507869979443224,1.117939693395771,0.8899789490004366,0.96452684181769,1.000841254638233,1.021240058361408,1.006677583183021,1.663312441231512,1.612264818321608,1.112030337766554,1.171621669047932,1.124197270391028,1.01578143305703,0.7987471973280762,0.6623116702997814,0.5270188256984517,0.5242404004176073,0.5409356599850638,0.5049368663763919,0.4630277736186197,0.4674635992953919,0.4838634842065968,0.5116562379438964,0.5921565186846021,0.6399895958081563,0.7634244479146212,0.9128041730066212,0.9335461807520664
5A,NV320,HH,0.9663709229244472,1.369915858593652,1.733928874528873,1.852060543511398,1.821610128930777,2.300010463010193,1.575423048445252,0.8449716415475527,0.9581136392044596,1.14427273033002,1.17591946789525,0.8639996442491484,1.168987397269602,1.243492658418607,1.511622917286263,1.12843415973261,1.063969666152149,1.132729930617698,1.23051214751018,1.08777062978557,0.8875266454241676,0.6393023291796714,0.5868777219484366,0.5804673223987793,0.5667194607880965,0.5505102677084883,0.5425425315789415,0.5429380476983022,0.6083330387263054,0.7078967760080662,0.852064330346773,0.950290211992152,0.871082578712808,0.93105679154341
5A,NV330,HH,1.119063829635512,1.487645124725311,1.981566316811264,2.182533066937724,2.473606496207836,3.079509921015433,1.529249412265955,1.027544987861708,1.171267872658892,1.074580341021275,0.8034621849188517,1.151918752873576,1.385701831207936,1.354228111579599,1.310992859386516,1.078106048103778,0.8733306660466945,0.9757328265198624,0.9527531120119532,0.9713087317740254,0.8094692783382484,0.5207459645375982,0.4945826194603553,0.5497788126756905,0.6233878806407206,0.5935875586282906,0.5996329460798153,0.8116910040868949,0.9373273819261374,0.9582961927084026,0.7476671130891747,0.8766872147889745,0.9386597753792344,0.9295160163234648
